,Avg,,,DGAC,,,OGAC,,,PCC,,
Cruise,A,B,C,A,B,C,A,B,C,A,B,C
Au,41.740807,1.148546,50.128316,41.740807,0.494698,50.128316,41.740807,-1.065026,50.128316,41.740807,3.520004,50.128316
MT,33.918713,20.591046,68.002978,33.918713,19.903775,68.002978,33.918713,19.345214,68.002978,33.918713,22.141611,68.002978
HT,35.879850,21.019665,74.298135,35.879850,20.358498,74.298135,35.879850,19.107151,74.298135,35.879850,21.822818,74.298135
Bus,23.479530,38.006238,68.002978,23.479530,37.318967,68.002978,23.479530,36.760406,68.002978,23.479530,39.556803,68.002978
MC,41.022542,10.013879,56.086099,41.022542,10.013879,56.086099,41.022542,10.013879,56.086099,41.022542,10.013879,56.086099
,,,,,,,,,,,,
,Avg,,,DGAC,,,OGAC,,,PCC,,
Full-Throttle,A,B,C,A,B,C,A,B,C,A,B,C
Au,41.740807,1.148546,67.000000,41.740807,0.494698,67.000000,41.740807,-1.065026,67.000000,41.740807,3.520004,67.000000
MT,33.918713,20.591046,74.000000,33.918713,19.903775,74.000000,33.918713,19.345214,74.000000,33.918713,22.141611,74.000000
HT,35.879850,21.019665,80.000000,35.879850,20.358498,80.000000,35.879850,19.107151,80.000000,35.879850,21.822818,80.000000
Bus,23.479530,38.006238,74.000000,23.479530,37.318967,74.000000,23.479530,36.760406,74.000000,23.479530,39.556803,74.000000
MC,41.022542,10.013879,67.000000,41.022542,10.013879,67.000000,41.022542,10.013879,67.000000,41.022542,10.013879,67.000000
